"filename", "language", "Markdown", "JSON", "Ignore", "PlantUML", "YAML", "PowerShell", "Docker", "Shell Script", "JavaScript", "Properties", "TypeScript", "pip requirements", "JSON with Comments", "TypeScript JSX", "HTML", "Python", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\ignas\Training_Plans\backend\app\integrations\service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 4, 21, 124
"c:\Users\ignas\Training_Plans\backend\app\main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 224, 0, 0, 17, 38, 279
"c:\Users\ignas\Training_Plans\backend\app\march_date_diag.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 14, 67
"c:\Users\ignas\Training_Plans\backend\app\migrate_backfill_duplicates.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 17, 15, 88
"c:\Users\ignas\Training_Plans\backend\app\migrate_duplicate_of_id.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 7, 9, 42
"c:\Users\ignas\Training_Plans\backend\app\migrate_profile_metric_history.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 15, 12, 85
"c:\Users\ignas\Training_Plans\backend\app\models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 356, 0, 0, 10, 112, 478
"c:\Users\ignas\Training_Plans\backend\app\parsing.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 632, 0, 0, 81, 146, 859
"c:\Users\ignas\Training_Plans\backend\app\recheck_compliance_docker.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 6, 12, 51
"c:\Users\ignas\Training_Plans\backend\app\reprocess.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 6, 15, 65
"c:\Users\ignas\Training_Plans\backend\app\reset_activities.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 7, 14, 60
"c:\Users\ignas\Training_Plans\backend\app\routers\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ignas\Training_Plans\backend\app\routers\activities.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3070, 0, 0, 125, 436, 3631
"c:\Users\ignas\Training_Plans\backend\app\routers\admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 316, 0, 0, 4, 66, 386
"c:\Users\ignas\Training_Plans\backend\app\routers\auth.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 0, 0, 3, 58, 314
"c:\Users\ignas\Training_Plans\backend\app\routers\calendar.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1752, 0, 0, 56, 249, 2057
"c:\Users\ignas\Training_Plans\backend\app\routers\communications.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1181, 0, 0, 6, 123, 1310
"c:\Users\ignas\Training_Plans\backend\app\routers\integrations.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1479, 0, 0, 37, 196, 1712
"c:\Users\ignas\Training_Plans\backend\app\routers\integrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 623, 0, 0, 21, 79, 723
"c:\Users\ignas\Training_Plans\backend\app\routers\integrations\helpers.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 2, 19, 124
