Date : 2026-04-26 21:46:40
Directory : c:\Users\ignas\Training_Plans
Total : 396 files,  196097 codes, 1628 comments, 9326 blanks, all 207051 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\activityDetail\SelectedSegmentSummary.tsx.html     | HTML               |        464 |          0 |         14 |        478 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\activityDetail\SessionFeedbackPanel.tsx.html       | HTML               |        455 |          0 |         17 |        472 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\activityDetail\SplitsTable.tsx.html                | HTML               |      1,100 |          0 |         14 |      1,114 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\activityDetail\formatters.ts.html                  | HTML               |        207 |          0 |         16 |        223 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\activityDetail\index.html                          | HTML               |        256 |          0 |         25 |        281 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\activityDetail\mapHelpers.tsx.html                 | HTML               |        455 |          0 |         14 |        469 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\builder\RepeatBlock.tsx.html                       | HTML               |         71 |          0 |         14 |         85 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\builder\WorkoutBuilder.tsx.html                    | HTML               |        490 |          0 |         18 |        508 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\builder\WorkoutEditor.tsx.html                     | HTML               |      2,918 |          0 |         14 |      2,932 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\builder\WorkoutStep.tsx.html                       | HTML               |         71 |          0 |         14 |         85 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\builder\WorkoutVisualizer.tsx.html                 | HTML               |        488 |          0 |         14 |        502 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\builder\index.html                                 | HTML               |        172 |          0 |         19 |        191 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\builder\workoutEditorUtils.ts.html                 | HTML               |      1,043 |          0 |         14 |      1,057 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\calendar\CalendarHeader.tsx.html                   | HTML               |        607 |          0 |         15 |        622 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\calendar\ContinuousCalendarGrid.tsx.html           | HTML               |      2,318 |          0 |         14 |      2,332 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\calendar\SportIcon.tsx.html                        | HTML               |        125 |          0 |         14 |        139 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\calendar\TrainingCalendarEventRenderers.tsx.html   | HTML               |      1,151 |          0 |         14 |      1,165 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\calendar\TrainingCalendarModals.tsx.html           | HTML               |      5,126 |          0 |         14 |      5,140 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\calendar\TrainingCalendarZoneDetailModal.tsx.html  | HTML               |      1,163 |          0 |         14 |      1,177 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\calendar\TrainingCalendarZoneSummaryPanel.tsx.html | HTML               |      2,954 |          0 |         14 |      2,968 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\calendar\activityStyling.ts.html                   | HTML               |        320 |          0 |         14 |        334 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\calendar\dateUtils.ts.html                         | HTML               |        107 |          0 |         14 |        121 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\calendar\index.html                                | HTML               |        298 |          0 |         28 |        326 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\calendar\loadModel.ts.html                         | HTML               |        938 |          0 |         14 |        952 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\calendar\parseWorkoutText.ts.html                  | HTML               |      1,583 |          0 |         14 |      1,597 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\calendar\quickWorkout.ts.html                      | HTML               |        701 |          0 |         14 |        715 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\calendar\theme.ts.html                             | HTML               |        287 |          0 |         14 |        301 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\calendar\trainingCalendarStyles.ts.html            | HTML               |        467 |          0 |         14 |        481 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\calendar\types.ts.html                             | HTML               |        440 |          0 |         14 |        454 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\coachComparison\ZoneBars.tsx.html                  | HTML               |        224 |          0 |         14 |        238 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\coachComparison\index.html                         | HTML               |        116 |          0 |         15 |        131 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\coachComparison\utils.ts.html                      | HTML               |        398 |          0 |         14 |        412 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\common\AppErrorBoundary.tsx.html                   | HTML               |        254 |          0 |         14 |        268 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\common\OfflineNotice.tsx.html                      | HTML               |        164 |          0 |         14 |        178 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\common\QueryErrorAlert.tsx.html                    | HTML               |        158 |          0 |         14 |        172 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\common\SkeletonScreens.tsx.html                    | HTML               |      1,025 |          0 |         14 |      1,039 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\common\SupportContactButton.tsx.html               | HTML               |        692 |          0 |         14 |        706 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\common\index.html                                  | HTML               |        158 |          0 |         18 |        176 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\dashboard\ActivityUploadPanel.tsx.html             | HTML               |      1,601 |          0 |         14 |      1,615 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\dashboard\CoachAthleteZoneSettingsPanel.tsx.html   | HTML               |      1,058 |          0 |         14 |      1,072 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\dashboard\MetricHistoryModal.tsx.html              | HTML               |        509 |          0 |         14 |        523 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\dashboard\SettingsForm.tsx.html                    | HTML               |        722 |          0 |         14 |        736 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\dashboard\index.html                               | HTML               |        144 |          0 |         17 |        161 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\index.html                                         | HTML               |        200 |          0 |         21 |        221 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\invite\InviteActions.tsx.html                      | HTML               |        125 |          0 |         14 |        139 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\invite\InviteHeader.tsx.html                       | HTML               |        128 |          0 |         14 |        142 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\invite\InviteTokenCard.tsx.html                    | HTML               |        119 |          0 |         14 |        133 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\invite\index.html                                  | HTML               |        130 |          0 |         16 |        146 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\library\WorkoutLibrary.tsx.html                    | HTML               |        808 |          0 |         15 |        823 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\library\WorkoutLibraryItem.tsx.html                | HTML               |        371 |          0 |         14 |        385 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\library\WorkoutPreviewGraph.tsx.html               | HTML               |        501 |          0 |         19 |        520 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\library\index.html                                 | HTML               |        144 |          0 |         17 |        161 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\library\workoutTemplates.ts.html                   | HTML               |        737 |          0 |         14 |        751 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\planner\SeasonPlannerDrawer.tsx.html               | HTML               |      1,844 |          0 |         14 |      1,858 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\planner\SeasonPlannerPreview.tsx.html              | HTML               |      1,487 |          0 |         14 |      1,501 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\planner\index.html                                 | HTML               |        130 |          0 |         16 |        146 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\planner\seasonPlanUtils.ts.html                    | HTML               |        659 |          0 |         14 |        673 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\i18n\I18nProvider.tsx.html                                    | HTML               |        599 |          0 |         14 |        613 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\i18n\index.html                                               | HTML               |        116 |          0 |         15 |        131 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\i18n\translations.ts.html                                     | HTML               |      3,206 |          0 |         14 |      3,220 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\index.html                                                    | HTML               |        102 |          0 |         14 |        116 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\pages\ActivityDetailPage.tsx.html                             | HTML               |      7,591 |          0 |         24 |      7,615 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\pages\AthleteCalendarPage.tsx.html                            | HTML               |        289 |          0 |         15 |        304 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\pages\CalendarPage.tsx.html                                   | HTML               |        255 |          0 |         16 |        271 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\pages\ComparisonPage.tsx.html                                 | HTML               |      4,130 |          0 |         14 |      4,144 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\pages\Dashboard.tsx.html                                      | HTML               |      3,398 |          0 |         14 |      3,412 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\pages\InvitePage.tsx.html                                     | HTML               |        346 |          0 |         15 |        361 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\pages\LoginPage.tsx.html                                      | HTML               |      1,953 |          0 |         16 |      1,969 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\pages\NotFoundPage.tsx.html                                   | HTML               |        125 |          0 |         14 |        139 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\pages\PublicCalendarPage.tsx.html                             | HTML               |        431 |          0 |         14 |        445 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\pages\WorkoutBuilderPage.tsx.html                             | HTML               |        104 |          0 |         14 |        118 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\pages\dashboard\AdminPanel.tsx.html                           | HTML               |      2,000 |          0 |         14 |      2,014 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\pages\dashboard\DashboardActivityTrackersTab.tsx.html         | HTML               |        968 |          0 |         14 |        982 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\pages\dashboard\DashboardAthleteHome.tsx.html                 | HTML               |        785 |          0 |         14 |        799 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\pages\dashboard\DashboardAthleteProfileTab.tsx.html           | HTML               |      1,793 |          0 |         14 |      1,807 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\pages\dashboard\DashboardCoachAthletesPage.tsx.html           | HTML               |      1,307 |          0 |         14 |      1,321 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\pages\dashboard\DashboardCoachHome.tsx.html                   | HTML               |      1,589 |          0 |         14 |      1,603 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\pages\dashboard\DashboardLayoutShell.tsx.html                 | HTML               |      2,024 |          0 |         14 |      2,038 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\pages\dashboard\DashboardNotificationsTab.tsx.html            | HTML               |        326 |          0 |         14 |        340 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\pages\dashboard\DashboardOrganizationsTab.tsx.html            | HTML               |      4,448 |          0 |         14 |      4,462 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\pages\dashboard\DashboardRacesRecordsTab.tsx.html             | HTML               |      1,580 |          0 |         14 |      1,594 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\pages\dashboard\DashboardSettingsTab.tsx.html                 | HTML               |        905 |          0 |         14 |        919 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\pages\dashboard\DashboardTrainingZonesTab.tsx.html            | HTML               |      2,153 |          0 |         14 |      2,167 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\pages\dashboard\InsightsPage.tsx.html                         | HTML               |      1,268 |          0 |         14 |      1,282 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\pages\dashboard\index.html                                    | HTML               |        312 |          0 |         29 |        341 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\pages\dashboard\types.ts.html                                 | HTML               |      1,043 |          0 |         14 |      1,057 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\pages\dashboard\useIntegrationSync.ts.html                    | HTML               |      1,298 |          0 |         14 |      1,312 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\pages\dashboard\utils.ts.html                                 | HTML               |        281 |          0 |         14 |        295 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\pages\index.html                                              | HTML               |        228 |          0 |         23 |        251 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\types\activityDetail.ts.html                                  | HTML               |        527 |          0 |         14 |        541 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\types\index.html                                              | HTML               |        116 |          0 |         15 |        131 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\types\workout.ts.html                                         | HTML               |        233 |          0 |         14 |        247 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\utils\authSession.ts.html                                     | HTML               |        404 |          0 |         17 |        421 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\utils\hrZones.ts.html                                         | HTML               |        392 |          0 |         14 |        406 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\utils\index.html                                              | HTML               |        130 |          0 |         16 |        146 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\utils\localSnapshot.ts.html                                   | HTML               |        290 |          0 |         14 |        304 |
| c:\Users\ignas\Training_Plans\frontend\index.html                                                                 | HTML               |         19 |          0 |          1 |         20 |
| c:\Users\ignas\Training_Plans\frontend\nginx.conf                                                                 | Properties         |         17 |          0 |          5 |         22 |
| c:\Users\ignas\Training_Plans\frontend\package-lock.json                                                          | JSON               |      5,129 |          0 |          1 |      5,130 |
| c:\Users\ignas\Training_Plans\frontend\package.json                                                               | JSON               |         56 |          0 |          1 |         57 |
| c:\Users\ignas\Training_Plans\frontend\public\favicon.svg                                                         | XML                |          8 |          0 |          1 |          9 |
| c:\Users\ignas\Training_Plans\frontend\public\manifest.webmanifest                                                | JSON               |          9 |          0 |          1 |         10 |
| c:\Users\ignas\Training_Plans\frontend\public\sw.js                                                               | JavaScript         |         65 |          3 |          9 |         77 |
| c:\Users\ignas\Training_Plans\frontend\src\App.tsx                                                                | TypeScript JSX     |         97 |          0 |          5 |        102 |
| c:\Users\ignas\Training_Plans\frontend\src\api\activities.ts                                                      | TypeScript         |         37 |          0 |          6 |         43 |
| c:\Users\ignas\Training_Plans\frontend\src\api\admin.ts                                                           | TypeScript         |         64 |          0 |         12 |         76 |
| c:\Users\ignas\Training_Plans\frontend\src\api\calendarCollaboration.ts                                           | TypeScript         |         62 |          0 |          8 |         70 |
| c:\Users\ignas\Training_Plans\frontend\src\api\client.ts                                                          | TypeScript         |        144 |         10 |         28 |        182 |
| c:\Users\ignas\Training_Plans\frontend\src\api\coachOperations.ts                                                 | TypeScript         |         19 |          0 |          5 |         24 |
| c:\Users\ignas\Training_Plans\frontend\src\api\communications.ts                                                  | TypeScript         |        138 |          0 |         17 |        155 |
| c:\Users\ignas\Training_Plans\frontend\src\api\dayNotes.ts                                                        | TypeScript         |         48 |          0 |          6 |         54 |
| c:\Users\ignas\Training_Plans\frontend\src\api\integrations.ts                                                    | TypeScript         |         90 |          0 |         18 |        108 |
| c:\Users\ignas\Training_Plans\frontend\src\api\organizations.ts                                                   | TypeScript         |        180 |          0 |         22 |        202 |
| c:\Users\ignas\Training_Plans\frontend\src\api\planning.ts                                                        | TypeScript         |        101 |          0 |         14 |        115 |
| c:\Users\ignas\Training_Plans\frontend\src\api\workouts.ts                                                        | TypeScript         |         36 |          0 |          8 |         44 |
| c:\Users\ignas\Training_Plans\frontend\src\components\ActivitiesView.tsx                                          | TypeScript JSX     |        535 |          1 |         37 |        573 |
| c:\Users\ignas\Training_Plans\frontend\src\components\AppSidebarLayout.tsx                                        | TypeScript JSX     |        171 |          0 |          9 |        180 |
| c:\Users\ignas\Training_Plans\frontend\src\components\CoachComparisonPanel.tsx                                    | TypeScript JSX     |      1,818 |          8 |        146 |      1,972 |
| c:\Users\ignas\Training_Plans\frontend\src\components\DualCalendarView.tsx                                        | TypeScript JSX     |        210 |          6 |         18 |        234 |
| c:\Users\ignas\Training_Plans\frontend\src\components\IntegrationsPanel.test.tsx                                  | TypeScript JSX     |         93 |          0 |         10 |        103 |
| c:\Users\ignas\Training_Plans\frontend\src\components\IntegrationsPanel.tsx                                       | TypeScript JSX     |        142 |          0 |          6 |        148 |
| c:\Users\ignas\Training_Plans\frontend\src\components\ProtectedRoute.tsx                                          | TypeScript JSX     |         47 |          0 |         10 |         57 |
| c:\Users\ignas\Training_Plans\frontend\src\components\ShareToChatModal.tsx                                        | TypeScript JSX     |        147 |          3 |         16 |        166 |
| c:\Users\ignas\Training_Plans\frontend\src\components\TrainingCalendar.tsx                                        | TypeScript JSX     |      1,854 |         24 |        153 |      2,031 |
| c:\Users\ignas\Training_Plans\frontend\src\components\activityDetail\BestEffortsPanel.tsx                         | TypeScript JSX     |        136 |          0 |          8 |        144 |
| c:\Users\ignas\Training_Plans\frontend\src\components\activityDetail\ChartsPanel.tsx                              | TypeScript JSX     |        280 |          0 |          5 |        285 |
| c:\Users\ignas\Training_Plans\frontend\src\components\activityDetail\CommentsPanel.tsx                            | TypeScript JSX     |         97 |          2 |         10 |        109 |
| c:\Users\ignas\Training_Plans\frontend\src\components\activityDetail\ComparisonPanel.tsx                          | TypeScript JSX     |        279 |          7 |         12 |        298 |
| c:\Users\ignas\Training_Plans\frontend\src\components\activityDetail\FullscreenMapModal.tsx                       | TypeScript JSX     |        297 |          5 |          6 |        308 |
| c:\Users\ignas\Training_Plans\frontend\src\components\activityDetail\HardEffortsChart.tsx                         | TypeScript JSX     |        191 |          7 |         19 |        217 |
| c:\Users\ignas\Training_Plans\frontend\src\components\activityDetail\HardEffortsPanel.tsx                         | TypeScript JSX     |        647 |         40 |         53 |        740 |
| c:\Users\ignas\Training_Plans\frontend\src\components\activityDetail\SelectedSegmentSummary.tsx                   | TypeScript JSX     |        123 |          0 |          9 |        132 |
| c:\Users\ignas\Training_Plans\frontend\src\components\activityDetail\SessionFeedbackPanel.tsx                     | TypeScript JSX     |        120 |          1 |          9 |        130 |
| c:\Users\ignas\Training_Plans\frontend\src\components\activityDetail\SplitsTable.tsx                              | TypeScript JSX     |        321 |          3 |         20 |        344 |
| c:\Users\ignas\Training_Plans\frontend\src\components\activityDetail\formatters.ts                                | TypeScript         |         41 |          0 |          6 |         47 |
| c:\Users\ignas\Training_Plans\frontend\src\components\activityDetail\mapHelpers.tsx                               | TypeScript JSX     |        117 |          2 |         10 |        129 |
| c:\Users\ignas\Training_Plans\frontend\src\components\builder\RepeatBlock.tsx                                     | TypeScript JSX     |          0 |          0 |          1 |          1 |
| c:\Users\ignas\Training_Plans\frontend\src\components\builder\WorkoutBuilder.tsx                                  | TypeScript JSX     |        122 |          6 |         14 |        142 |
| c:\Users\ignas\Training_Plans\frontend\src\components\builder\WorkoutEditor.tsx                                   | TypeScript JSX     |        900 |          4 |         46 |        950 |
| c:\Users\ignas\Training_Plans\frontend\src\components\builder\WorkoutStep.tsx                                     | TypeScript JSX     |          0 |          0 |          1 |          1 |
| c:\Users\ignas\Training_Plans\frontend\src\components\builder\WorkoutVisualizer.tsx                               | TypeScript JSX     |        129 |          0 |         11 |        140 |
| c:\Users\ignas\Training_Plans\frontend\src\components\builder\workoutEditorUtils.ts                               | TypeScript         |        292 |          0 |         33 |        325 |
| c:\Users\ignas\Training_Plans\frontend\src\components\calendar\CalendarHeader.tsx                                 | TypeScript JSX     |        163 |          3 |         14 |        180 |
| c:\Users\ignas\Training_Plans\frontend\src\components\calendar\ContinuousCalendarGrid.tsx                         | TypeScript JSX     |        632 |         73 |         45 |        750 |
| c:\Users\ignas\Training_Plans\frontend\src\components\calendar\SportIcon.tsx                                      | TypeScript JSX     |         15 |          0 |          4 |         19 |
| c:\Users\ignas\Training_Plans\frontend\src\components\calendar\TrainingCalendarEventRenderers.tsx                 | TypeScript JSX     |        345 |          0 |         16 |        361 |
| c:\Users\ignas\Training_Plans\frontend\src\components\calendar\TrainingCalendarModals.tsx                         | TypeScript JSX     |      1,601 |          7 |         78 |      1,686 |
| c:\Users\ignas\Training_Plans\frontend\src\components\calendar\TrainingCalendarZoneDetailModal.tsx                | TypeScript JSX     |        337 |          0 |         28 |        365 |
| c:\Users\ignas\Training_Plans\frontend\src\components\calendar\TrainingCalendarZoneSummaryPanel.tsx               | TypeScript JSX     |        860 |         11 |         91 |        962 |
| c:\Users\ignas\Training_Plans\frontend\src\components\calendar\activityStyling.ts                                 | TypeScript         |         73 |          1 |         10 |         84 |
| c:\Users\ignas\Training_Plans\frontend\src\components\calendar\dateUtils.ts                                       | TypeScript         |         11 |          0 |          2 |         13 |
| c:\Users\ignas\Training_Plans\frontend\src\components\calendar\loadModel.ts                                       | TypeScript         |        258 |          0 |         32 |        290 |
| c:\Users\ignas\Training_Plans\frontend\src\components\calendar\parseWorkoutText.test.ts                           | TypeScript         |        260 |         14 |         41 |        315 |
| c:\Users\ignas\Training_Plans\frontend\src\components\calendar\parseWorkoutText.ts                                | TypeScript         |        372 |         53 |         80 |        505 |
| c:\Users\ignas\Training_Plans\frontend\src\components\calendar\quickWorkout.ts                                    | TypeScript         |        191 |          0 |         20 |        211 |
| c:\Users\ignas\Training_Plans\frontend\src\components\calendar\theme.ts                                           | TypeScript         |         69 |          0 |          4 |         73 |
| c:\Users\ignas\Training_Plans\frontend\src\components\calendar\trainingCalendarStyles.ts                          | TypeScript         |        131 |          0 |          2 |        133 |
| c:\Users\ignas\Training_Plans\frontend\src\components\calendar\types.ts                                           | TypeScript         |        115 |          0 |          9 |        124 |
| c:\Users\ignas\Training_Plans\frontend\src\components\coachComparison\ZoneBars.tsx                                | TypeScript JSX     |         45 |          0 |          7 |         52 |
| c:\Users\ignas\Training_Plans\frontend\src\components\coachComparison\utils.test.ts                               | TypeScript         |         65 |          0 |         10 |         75 |
| c:\Users\ignas\Training_Plans\frontend\src\components\coachComparison\utils.ts                                    | TypeScript         |         95 |          0 |         15 |        110 |
| c:\Users\ignas\Training_Plans\frontend\src\components\common\AppErrorBoundary.tsx                                 | TypeScript JSX     |         50 |          0 |         12 |         62 |
| c:\Users\ignas\Training_Plans\frontend\src\components\common\OfflineNotice.tsx                                    | TypeScript JSX     |         25 |          0 |          7 |         32 |
| c:\Users\ignas\Training_Plans\frontend\src\components\common\QueryErrorAlert.tsx                                  | TypeScript JSX     |         27 |          0 |          3 |         30 |
| c:\Users\ignas\Training_Plans\frontend\src\components\common\SkeletonScreens.tsx                                  | TypeScript JSX     |        280 |         18 |         21 |        319 |
| c:\Users\ignas\Training_Plans\frontend\src\components\common\SupportContactButton.tsx                             | TypeScript JSX     |        196 |          0 |         12 |        208 |
| c:\Users\ignas\Training_Plans\frontend\src\components\dashboard\ActivityUploadPanel.tsx                           | TypeScript JSX     |        475 |          8 |         28 |        511 |
| c:\Users\ignas\Training_Plans\frontend\src\components\dashboard\CoachAthleteZoneSettingsPanel.tsx                 | TypeScript JSX     |        301 |          0 |         29 |        330 |
| c:\Users\ignas\Training_Plans\frontend\src\components\dashboard\MetricHistoryModal.tsx                            | TypeScript JSX     |        138 |          0 |          9 |        147 |
| c:\Users\ignas\Training_Plans\frontend\src\components\dashboard\SettingsForm.tsx                                  | TypeScript JSX     |        186 |          5 |         18 |        209 |
| c:\Users\ignas\Training_Plans\frontend\src\components\invite\InviteActions.tsx                                    | TypeScript JSX     |         15 |          0 |          4 |         19 |
| c:\Users\ignas\Training_Plans\frontend\src\components\invite\InviteHeader.tsx                                     | TypeScript JSX     |         16 |          0 |          4 |         20 |
| c:\Users\ignas\Training_Plans\frontend\src\components\invite\InviteTokenCard.tsx                                  | TypeScript JSX     |         13 |          0 |          4 |         17 |
| c:\Users\ignas\Training_Plans\frontend\src\components\library\WorkoutLibrary.tsx                                  | TypeScript JSX     |        221 |          3 |         23 |        247 |
| c:\Users\ignas\Training_Plans\frontend\src\components\library\WorkoutLibraryItem.tsx                              | TypeScript JSX     |         93 |          0 |          8 |        101 |
| c:\Users\ignas\Training_Plans\frontend\src\components\library\WorkoutPreviewGraph.tsx                             | TypeScript JSX     |        115 |         13 |         18 |        146 |
| c:\Users\ignas\Training_Plans\frontend\src\components\library\workoutTemplates.ts                                 | TypeScript         |        182 |         11 |         30 |        223 |
| c:\Users\ignas\Training_Plans\frontend\src\components\planner\SeasonPlannerDrawer.tsx                             | TypeScript JSX     |        548 |          7 |         37 |        592 |
| c:\Users\ignas\Training_Plans\frontend\src\components\planner\SeasonPlannerPreview.tsx                            | TypeScript JSX     |        444 |          9 |         20 |        473 |
| c:\Users\ignas\Training_Plans\frontend\src\components\planner\seasonPlanUtils.test.ts                             | TypeScript         |         57 |          0 |         10 |         67 |
| c:\Users\ignas\Training_Plans\frontend\src\components\planner\seasonPlanUtils.ts                                  | TypeScript         |        174 |          2 |         21 |        197 |
| c:\Users\ignas\Training_Plans\frontend\src\i18n\I18nProvider.tsx                                                  | TypeScript JSX     |        148 |          0 |         29 |        177 |
| c:\Users\ignas\Training_Plans\frontend\src\i18n\translations.ts                                                   | TypeScript         |      1,051 |          0 |          3 |      1,054 |
| c:\Users\ignas\Training_Plans\frontend\src\main.tsx                                                               | TypeScript JSX     |        124 |          1 |          7 |        132 |
| c:\Users\ignas\Training_Plans\frontend\src\pages\ActivityDetailPage.tsx                                           | TypeScript JSX     |      2,416 |         46 |        182 |      2,644 |
| c:\Users\ignas\Training_Plans\frontend\src\pages\AthleteCalendarPage.tsx                                          | TypeScript JSX     |         67 |          0 |          7 |         74 |
| c:\Users\ignas\Training_Plans\frontend\src\pages\CalendarPage.tsx                                                 | TypeScript JSX     |         49 |          7 |          7 |         63 |
| c:\Users\ignas\Training_Plans\frontend\src\pages\ComparisonPage.tsx                                               | TypeScript JSX     |      1,220 |         38 |         96 |      1,354 |
| c:\Users\ignas\Training_Plans\frontend\src\pages\Dashboard.tsx                                                    | TypeScript JSX     |      1,025 |          8 |         77 |      1,110 |
| c:\Users\ignas\Training_Plans\frontend\src\pages\InvitePage.tsx                                                   | TypeScript JSX     |         84 |          0 |          9 |         93 |
| c:\Users\ignas\Training_Plans\frontend\src\pages\LoginPage.tsx                                                    | TypeScript JSX     |        672 |         10 |         52 |        734 |
| c:\Users\ignas\Training_Plans\frontend\src\pages\NotFoundPage.tsx                                                 | TypeScript JSX     |         17 |          0 |          2 |         19 |
| c:\Users\ignas\Training_Plans\frontend\src\pages\PublicCalendarPage.tsx                                           | TypeScript JSX     |        111 |          0 |         10 |        121 |
| c:\Users\ignas\Training_Plans\frontend\src\pages\WorkoutBuilderPage.tsx                                           | TypeScript JSX     |         10 |          0 |          2 |         12 |
| c:\Users\ignas\Training_Plans\frontend\src\pages\dashboard\AdminPanel.tsx                                         | TypeScript JSX     |        612 |          3 |         29 |        644 |
| c:\Users\ignas\Training_Plans\frontend\src\pages\dashboard\DashboardActivityTrackersTab.tsx                       | TypeScript JSX     |        277 |          7 |         16 |        300 |
| c:\Users\ignas\Training_Plans\frontend\src\pages\dashboard\DashboardAthleteHome.tsx                               | TypeScript JSX     |        224 |          0 |         15 |        239 |
