Date : 2026-04-26 21:46:40
Directory : c:\Users\ignas\Training_Plans
Total : 396 files,  196097 codes, 1628 comments, 9326 blanks, all 207051 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\ignas\Training_Plans\backend\app\tests\test_support_requests.py                                          | Python             |         80 |          0 |         20 |        100 |
| c:\Users\ignas\Training_Plans\backend\app\tests\test_users_helpers.py                                             | Python             |         63 |          0 |          9 |         72 |
| c:\Users\ignas\Training_Plans\backend\app\wait_for_db.py                                                          | Python             |         24 |          0 |          9 |         33 |
| c:\Users\ignas\Training_Plans\backend\app\workout_templates.py                                                    | Python             |        332 |          6 |          4 |        342 |
| c:\Users\ignas\Training_Plans\backend\requirements.txt                                                            | pip requirements   |         21 |          0 |          1 |         22 |
| c:\Users\ignas\Training_Plans\deployment\hetzner\bootstrap-ubuntu.sh                                              | Shell Script       |         34 |          1 |         12 |         47 |
| c:\Users\ignas\Training_Plans\deployment\hetzner\cloud-init.yaml                                                  | YAML               |         41 |          2 |          6 |         49 |
| c:\Users\ignas\Training_Plans\deployment\hetzner\deploy.sh                                                        | Shell Script       |         36 |          1 |         10 |         47 |
| c:\Users\ignas\Training_Plans\deployment\nginx\edge.conf                                                          | Properties         |         56 |          1 |         10 |         67 |
| c:\Users\ignas\Training_Plans\docker-compose.prod.yml                                                             | YAML               |        113 |          0 |          6 |        119 |
| c:\Users\ignas\Training_Plans\docker-compose.yml                                                                  | YAML               |         92 |          0 |          4 |         96 |
| c:\Users\ignas\Training_Plans\docs\backend_models_class_diagram.puml                                              | PlantUML           |        366 |          0 |         47 |        413 |
| c:\Users\ignas\Training_Plans\docs\component_diagram.puml                                                         | PlantUML           |        158 |          6 |         23 |        187 |
| c:\Users\ignas\Training_Plans\docs\db_schema.puml                                                                 | PlantUML           |        355 |          0 |         37 |        392 |
| c:\Users\ignas\Training_Plans\docs\use_cases.puml                                                                 | PlantUML           |        289 |         38 |         34 |        361 |
| c:\Users\ignas\Training_Plans\docs\use_cases\00_overview.puml                                                     | PlantUML           |         53 |          0 |          7 |         60 |
| c:\Users\ignas\Training_Plans\docs\use_cases\01_authentication.puml                                               | PlantUML           |         40 |          0 |          8 |         48 |
| c:\Users\ignas\Training_Plans\docs\use_cases\02_user_profile.puml                                                 | PlantUML           |         36 |          0 |          7 |         43 |
| c:\Users\ignas\Training_Plans\docs\use_cases\03_organization.puml                                                 | PlantUML           |         40 |          0 |          7 |         47 |
| c:\Users\ignas\Training_Plans\docs\use_cases\04_activity.puml                                                     | PlantUML           |         46 |          0 |          8 |         54 |
| c:\Users\ignas\Training_Plans\docs\use_cases\05_calendar.puml                                                     | PlantUML           |         46 |          0 |          8 |         54 |
| c:\Users\ignas\Training_Plans\docs\use_cases\06_workouts.puml                                                     | PlantUML           |         28 |          0 |          6 |         34 |
| c:\Users\ignas\Training_Plans\docs\use_cases\07_season.puml                                                       | PlantUML           |         32 |          0 |          7 |         39 |
| c:\Users\ignas\Training_Plans\docs\use_cases\08_integrations.puml                                                 | PlantUML           |         34 |          0 |          7 |         41 |
| c:\Users\ignas\Training_Plans\docs\use_cases\09_wellness.puml                                                     | PlantUML           |         28 |          0 |          7 |         35 |
| c:\Users\ignas\Training_Plans\docs\use_cases\10_communication.puml                                                | PlantUML           |         35 |          0 |          7 |         42 |
| c:\Users\ignas\Training_Plans\docs\use_cases\11_analytics.puml                                                    | PlantUML           |         28 |          0 |          7 |         35 |
| c:\Users\ignas\Training_Plans\docs\use_cases\12_admin.puml                                                        | PlantUML           |         19 |          0 |          6 |         25 |
| c:\Users\ignas\Training_Plans\frontend\Dockerfile                                                                 | Docker             |          7 |          0 |          6 |         13 |
| c:\Users\ignas\Training_Plans\frontend\coverage-critical\base.css                                                 | PostCSS            |        203 |          9 |         13 |        225 |
| c:\Users\ignas\Training_Plans\frontend\coverage-critical\block-navigation.js                                      | JavaScript         |         66 |          7 |         15 |         88 |
| c:\Users\ignas\Training_Plans\frontend\coverage-critical\components\calendar\index.html                           | HTML               |        102 |          0 |         14 |        116 |
| c:\Users\ignas\Training_Plans\frontend\coverage-critical\components\calendar\parseWorkoutText.ts.html             | HTML               |      1,583 |          0 |         14 |      1,597 |
| c:\Users\ignas\Training_Plans\frontend\coverage-critical\components\coachComparison\index.html                    | HTML               |        102 |          0 |         14 |        116 |
| c:\Users\ignas\Training_Plans\frontend\coverage-critical\components\coachComparison\utils.ts.html                 | HTML               |        398 |          0 |         14 |        412 |
| c:\Users\ignas\Training_Plans\frontend\coverage-critical\components\planner\index.html                            | HTML               |        102 |          0 |         14 |        116 |
| c:\Users\ignas\Training_Plans\frontend\coverage-critical\components\planner\seasonPlanUtils.ts.html               | HTML               |        659 |          0 |         14 |        673 |
| c:\Users\ignas\Training_Plans\frontend\coverage-critical\index.html                                               | HTML               |        144 |          0 |         17 |        161 |
| c:\Users\ignas\Training_Plans\frontend\coverage-critical\prettify.css                                             | PostCSS            |          1 |          0 |          1 |          2 |
| c:\Users\ignas\Training_Plans\frontend\coverage-critical\prettify.js                                              | JavaScript         |          1 |          1 |          1 |          3 |
| c:\Users\ignas\Training_Plans\frontend\coverage-critical\sorter.js                                                | JavaScript         |        171 |         21 |         19 |        211 |
